# 03_MODULE_RESOLUTION.txt
# Module existence verification on filesystem
# Format: <module_path>|<status>|<resolved_file_path>

matplotlib.backends.backend_webagg_core|DEAD|NO_FILE
gi  # type: ignore[import]|DEAD|NO_FILE
matplotlib.backends.backend_qt5agg  # noqa|DEAD|NO_FILE
matplotlib.backends.backend_qt5cairo  # noqa|DEAD|NO_FILE
matplotlib.backends.backend_qt5  # noqa|DEAD|NO_FILE
win32api|DEAD|NO_FILE
pylab  # type: ignore[import]|DEAD|NO_FILE
matplotlib.category|DEAD|NO_FILE
sphinx_gallery|DEAD|NO_FILE
matplotlib.dviread|DEAD|NO_FILE
PIL.TiffTags|DEAD|NO_FILE
xml.etree|DEAD|NO_FILE
matplotlib.legend_handler|DEAD|NO_FILE
pickletools|DEAD|NO_FILE
matplotlib.sankey|DEAD|NO_FILE
filecmp|DEAD|NO_FILE
matplotlib.style.core|DEAD|NO_FILE
matplotlib.textpath|DEAD|NO_FILE
numpy.ma.testutils|DEAD|NO_FILE
matplotlib._type1font|DEAD|NO_FILE
matplotlib.testing.widgets|DEAD|NO_FILE
.textpath|DEAD|NO_FILE
matplotlib._path|DEAD|NO_FILE
._triangulation|DEAD|NO_FILE
._tricontour|DEAD|NO_FILE
._trifinder|DEAD|NO_FILE
._triinterpolate|DEAD|NO_FILE
._tripcolor|DEAD|NO_FILE
._triplot|DEAD|NO_FILE
._trirefine|DEAD|NO_FILE
._tritools|DEAD|NO_FILE
matplotlib.tri._trifinder|DEAD|NO_FILE
matplotlib.tri._triangulation|DEAD|NO_FILE
matplotlib.tri._tritools|DEAD|NO_FILE
matplotlib.tri._triinterpolate|DEAD|NO_FILE
.lines|DEAD|NO_FILE
mdurl._decode|DEAD|NO_FILE
mdurl._encode|DEAD|NO_FILE
mdurl._format|DEAD|NO_FILE
mdurl._parse|DEAD|NO_FILE
mdurl._url|DEAD|NO_FILE
.axes_divider|DEAD|NO_FILE
.axes_grid|DEAD|NO_FILE
.parasite_axes|DEAD|NO_FILE
.mpl_axes|DEAD|NO_FILE
mpl_toolkits.axes_grid1.anchored_artists|DEAD|NO_FILE
mpl_toolkits.axes_grid1.axes_divider|DEAD|NO_FILE
mpl_toolkits.axes_grid1.axes_rgb|DEAD|NO_FILE
mpl_toolkits.axes_grid1.inset_locator|DEAD|NO_FILE
mpl_toolkits.axes_grid1.mpl_axes|DEAD|NO_FILE
.axislines|DEAD|NO_FILE
.axis_artist|DEAD|NO_FILE
.grid_helper_curvelinear|DEAD|NO_FILE
.floating_axes|DEAD|NO_FILE
mpl_toolkits.axes_grid1.parasite_axes|DEAD|NO_FILE
mpl_toolkits.axisartist.grid_finder|DEAD|NO_FILE
.axisline_style|DEAD|NO_FILE
.grid_finder|DEAD|NO_FILE
mpl_toolkits.axisartist.angle_helper|DEAD|NO_FILE
mpl_toolkits.axisartist.axis_artist|DEAD|NO_FILE
mpl_toolkits.axisartist.axislines|DEAD|NO_FILE
mpl_toolkits.axisartist.floating_axes|DEAD|NO_FILE
mpl_toolkits.axisartist.grid_helper_curvelinear|DEAD|NO_FILE
.axes3d|DEAD|NO_FILE
mpl_toolkits.mplot3d.art3d|DEAD|NO_FILE
mpl_toolkits.mplot3d.axes3d|DEAD|NO_FILE
.usertools|DEAD|NO_FILE
.ctx_fp|DEAD|NO_FILE
.ctx_mp|DEAD|NO_FILE
.ctx_iv|DEAD|NO_FILE
..libmp.backend|DEAD|NO_FILE
.calculus|DEAD|NO_FILE
.libmp.backend|DEAD|NO_FILE
.functions.functions|DEAD|NO_FILE
.functions.rszeta|DEAD|NO_FILE
.calculus.quadrature|DEAD|NO_FILE
.calculus.inverselaplace|DEAD|NO_FILE
.calculus.calculus|DEAD|NO_FILE
.calculus.optimization|DEAD|NO_FILE
.calculus.odes|DEAD|NO_FILE
.matrices.matrices|DEAD|NO_FILE
.matrices.calculus|DEAD|NO_FILE
.matrices.linalg|DEAD|NO_FILE
.matrices.eigen|DEAD|NO_FILE
.identification|DEAD|NO_FILE
.visualization|DEAD|NO_FILE
.ctx_base|DEAD|NO_FILE
cmath|DEAD|NO_FILE
.libmp|DEAD|NO_FILE
sage.libs.mpmath.ext_main|DEAD|NO_FILE
.ctx_mp_python|DEAD|NO_FILE
.functions|DEAD|NO_FILE
.libmpf|DEAD|NO_FILE
.libmpc|DEAD|NO_FILE
.libelefun|DEAD|NO_FILE
.libhyper|DEAD|NO_FILE
.gammazeta|DEAD|NO_FILE
.libmpi|DEAD|NO_FILE
.libintmath|DEAD|NO_FILE
gmpy2|DEAD|NO_FILE
gmpy|DEAD|NO_FILE
sage.all|DEAD|NO_FILE
sage.libs.mpmath.utils|DEAD|NO_FILE
sage.libs.mpmath.ext_libmp|DEAD|NO_FILE
.eigen|DEAD|NO_FILE
mpmath|DEAD|NO_FILE
mpmath.libmp|DEAD|NO_FILE
py|DEAD|NO_FILE
trace|DEAD|NO_FILE
mpmath.rational|DEAD|NO_FILE
mpmath.calculus.optimization|DEAD|NO_FILE
pylab|DEAD|NO_FILE
mpmath.libmp.backend|DEAD|NO_FILE
.dispatcher|DEAD|NO_FILE
.variadic|DEAD|NO_FILE
.conflict|DEAD|NO_FILE
multipledispatch.utils|DEAD|NO_FILE
.mrmr|DEAD|NO_FILE
murmurhash.mrmr|DEAD|NO_FILE
networkx.lazy_imports|DEAD|NO_FILE
networkx.exception|DEAD|NO_FILE
networkx.utils|DEAD|NO_FILE
networkx.classes|DEAD|NO_FILE
networkx.convert|DEAD|NO_FILE
networkx.convert_matrix|DEAD|NO_FILE
networkx.relabel|DEAD|NO_FILE
networkx.generators|DEAD|NO_FILE
networkx.readwrite|DEAD|NO_FILE
networkx.algorithms|DEAD|NO_FILE
networkx.linalg|DEAD|NO_FILE
networkx.drawing|DEAD|NO_FILE
networkx.algorithms.assortativity|DEAD|NO_FILE
networkx.algorithms.asteroidal|DEAD|NO_FILE
networkx.algorithms.boundary|DEAD|NO_FILE
networkx.algorithms.broadcasting|DEAD|NO_FILE
networkx.algorithms.bridges|DEAD|NO_FILE
networkx.algorithms.chains|DEAD|NO_FILE
networkx.algorithms.centrality|DEAD|NO_FILE
networkx.algorithms.chordal|DEAD|NO_FILE
networkx.algorithms.cluster|DEAD|NO_FILE
networkx.algorithms.clique|DEAD|NO_FILE
networkx.algorithms.communicability_alg|DEAD|NO_FILE
networkx.algorithms.components|DEAD|NO_FILE
networkx.algorithms.coloring|DEAD|NO_FILE
networkx.algorithms.core|DEAD|NO_FILE
networkx.algorithms.covering|DEAD|NO_FILE
networkx.algorithms.cycles|DEAD|NO_FILE
networkx.algorithms.cuts|DEAD|NO_FILE
networkx.algorithms.d_separation|DEAD|NO_FILE
networkx.algorithms.dag|DEAD|NO_FILE
networkx.algorithms.distance_measures|DEAD|NO_FILE
networkx.algorithms.distance_regular|DEAD|NO_FILE
networkx.algorithms.dominance|DEAD|NO_FILE
networkx.algorithms.dominating|DEAD|NO_FILE
networkx.algorithms.efficiency_measures|DEAD|NO_FILE
networkx.algorithms.euler|DEAD|NO_FILE
networkx.algorithms.graphical|DEAD|NO_FILE
networkx.algorithms.hierarchy|DEAD|NO_FILE
networkx.algorithms.hybrid|DEAD|NO_FILE
networkx.algorithms.link_analysis|DEAD|NO_FILE
networkx.algorithms.link_prediction|DEAD|NO_FILE
networkx.algorithms.lowest_common_ancestors|DEAD|NO_FILE
networkx.algorithms.isolate|DEAD|NO_FILE
networkx.algorithms.matching|DEAD|NO_FILE
networkx.algorithms.minors|DEAD|NO_FILE
networkx.algorithms.mis|DEAD|NO_FILE
networkx.algorithms.moral|DEAD|NO_FILE
networkx.algorithms.non_randomness|DEAD|NO_FILE
networkx.algorithms.operators|DEAD|NO_FILE
networkx.algorithms.planarity|DEAD|NO_FILE
networkx.algorithms.planar_drawing|DEAD|NO_FILE
networkx.algorithms.polynomials|DEAD|NO_FILE
networkx.algorithms.perfect_graph|DEAD|NO_FILE
networkx.algorithms.reciprocity|DEAD|NO_FILE
networkx.algorithms.regular|DEAD|NO_FILE
networkx.algorithms.richclub|DEAD|NO_FILE
networkx.algorithms.shortest_paths|DEAD|NO_FILE
networkx.algorithms.similarity|DEAD|NO_FILE
networkx.algorithms.graph_hashing|DEAD|NO_FILE
networkx.algorithms.simple_paths|DEAD|NO_FILE
networkx.algorithms.smallworld|DEAD|NO_FILE
networkx.algorithms.smetric|DEAD|NO_FILE
networkx.algorithms.structuralholes|DEAD|NO_FILE
networkx.algorithms.sparsifiers|DEAD|NO_FILE
networkx.algorithms.summarization|DEAD|NO_FILE
networkx.algorithms.swap|DEAD|NO_FILE
networkx.algorithms.time_dependent|DEAD|NO_FILE
networkx.algorithms.traversal|DEAD|NO_FILE
networkx.algorithms.triads|DEAD|NO_FILE
networkx.algorithms.vitality|DEAD|NO_FILE
networkx.algorithms.voronoi|DEAD|NO_FILE
networkx.algorithms.walks|DEAD|NO_FILE
networkx.algorithms.wiener|DEAD|NO_FILE
networkx.algorithms.bipartite|DEAD|NO_FILE
networkx.algorithms.connectivity|DEAD|NO_FILE
networkx.algorithms.flow|DEAD|NO_FILE
networkx.algorithms.isomorphism|DEAD|NO_FILE
networkx.algorithms.isomorphism.vf2pp|DEAD|NO_FILE
networkx.algorithms.tree.branchings|DEAD|NO_FILE
networkx.algorithms.tree.coding|DEAD|NO_FILE
networkx.algorithms.tree.decomposition|DEAD|NO_FILE
networkx.algorithms.tree.mst|DEAD|NO_FILE
networkx.algorithms.tree.operations|DEAD|NO_FILE
networkx.algorithms.tree.recognition|DEAD|NO_FILE
networkx.algorithms.tournament|DEAD|NO_FILE
networkx.algorithms.approximation.clustering_coefficient|DEAD|NO_FILE
networkx.algorithms.approximation.clique|DEAD|NO_FILE
networkx.algorithms.approximation.connectivity|DEAD|NO_FILE
networkx.algorithms.approximation.distance_measures|DEAD|NO_FILE
networkx.algorithms.approximation.dominating_set|DEAD|NO_FILE
networkx.algorithms.approximation.kcomponents|DEAD|NO_FILE
networkx.algorithms.approximation.matching|DEAD|NO_FILE
networkx.algorithms.approximation.ramsey|DEAD|NO_FILE
networkx.algorithms.approximation.steinertree|DEAD|NO_FILE
networkx.algorithms.approximation.traveling_salesman|DEAD|NO_FILE
networkx.algorithms.approximation.treewidth|DEAD|NO_FILE
networkx.algorithms.approximation.vertex_cover|DEAD|NO_FILE
networkx.algorithms.approximation.maxcut|DEAD|NO_FILE
networkx.algorithms.approximation.density|DEAD|NO_FILE
networkx.algorithms.approximation|DEAD|NO_FILE
networkx.utils.decorators|DEAD|NO_FILE
..matching|DEAD|NO_FILE
networkx.algorithms.assortativity.connectivity|DEAD|NO_FILE
networkx.algorithms.assortativity.correlation|DEAD|NO_FILE
networkx.algorithms.assortativity.mixing|DEAD|NO_FILE
networkx.algorithms.assortativity.neighbor_degree|DEAD|NO_FILE
networkx.algorithms.assortativity.pairs|DEAD|NO_FILE
.base_test|DEAD|NO_FILE
networkx.algorithms.bipartite.basic|DEAD|NO_FILE
networkx.algorithms.bipartite.centrality|DEAD|NO_FILE
networkx.algorithms.bipartite.cluster|DEAD|NO_FILE
networkx.algorithms.bipartite.covering|DEAD|NO_FILE
networkx.algorithms.bipartite.edgelist|DEAD|NO_FILE
networkx.algorithms.bipartite.matching|DEAD|NO_FILE
networkx.algorithms.bipartite.matrix|DEAD|NO_FILE
networkx.algorithms.bipartite.projection|DEAD|NO_FILE
networkx.algorithms.bipartite.redundancy|DEAD|NO_FILE
networkx.algorithms.bipartite.spectral|DEAD|NO_FILE
networkx.algorithms.bipartite.generators|DEAD|NO_FILE
networkx.algorithms.bipartite.extendability|DEAD|NO_FILE
networkx.algorithms.bipartite.link_analysis|DEAD|NO_FILE
one of the named maximum matching algorithms directly.|DEAD|NO_FILE
..generators|DEAD|NO_FILE
.betweenness|DEAD|NO_FILE
.betweenness_subset|DEAD|NO_FILE
.closeness|DEAD|NO_FILE
.current_flow_betweenness|DEAD|NO_FILE
.current_flow_betweenness_subset|DEAD|NO_FILE
.current_flow_closeness|DEAD|NO_FILE
.degree_alg|DEAD|NO_FILE
.dispersion|DEAD|NO_FILE
.eigenvector|DEAD|NO_FILE
.harmonic|DEAD|NO_FILE
.katz|DEAD|NO_FILE
.load|DEAD|NO_FILE
.percolation|DEAD|NO_FILE
.reaching|DEAD|NO_FILE
.second_order|DEAD|NO_FILE
.subgraph_alg|DEAD|NO_FILE
.trophic|DEAD|NO_FILE
.voterank_alg|DEAD|NO_FILE
.laplacian|DEAD|NO_FILE
networkx.algorithms.shortest_paths.weighted|DEAD|NO_FILE
networkx.algorithms.centrality.betweenness|DEAD|NO_FILE
networkx.algorithms.centrality.flow_matrix|DEAD|NO_FILE
networkx.algorithms.centrality.subgraph_alg|DEAD|NO_FILE
networkx.algorithms.coloring.greedy_coloring|DEAD|NO_FILE
networkx.algorithms.coloring.equitable_coloring|DEAD|NO_FILE
networkx.algorithms.community.asyn_fluid|DEAD|NO_FILE
networkx.algorithms.community.bipartitions|DEAD|NO_FILE
networkx.algorithms.community.centrality|DEAD|NO_FILE
networkx.algorithms.community.divisive|DEAD|NO_FILE
networkx.algorithms.community.kclique|DEAD|NO_FILE
networkx.algorithms.community.label_propagation|DEAD|NO_FILE
networkx.algorithms.community.lukes|DEAD|NO_FILE
networkx.algorithms.community.modularity_max|DEAD|NO_FILE
networkx.algorithms.community.quality|DEAD|NO_FILE
networkx.algorithms.community.community_utils|DEAD|NO_FILE
networkx.algorithms.community.louvain|DEAD|NO_FILE
networkx.algorithms.community.leiden|DEAD|NO_FILE
networkx.algorithms.community.local|DEAD|NO_FILE
networkx.algorithms.community|DEAD|NO_FILE
networkx.utils.mapped_queue|DEAD|NO_FILE
.connected|DEAD|NO_FILE
.strongly_connected|DEAD|NO_FILE
.weakly_connected|DEAD|NO_FILE
.attracting|DEAD|NO_FILE
.biconnected|DEAD|NO_FILE
.semiconnected|DEAD|NO_FILE
networkx.classes.tests|DEAD|NO_FILE
.connectivity|DEAD|NO_FILE
.cuts|DEAD|NO_FILE
.edge_augmentation|DEAD|NO_FILE
.edge_kcomponents|DEAD|NO_FILE
.disjoint_paths|DEAD|NO_FILE
.kcomponents|DEAD|NO_FILE
.kcutsets|DEAD|NO_FILE
.stoerwagner|DEAD|NO_FILE
networkx.algorithms.connectivity.edge_augmentation|DEAD|NO_FILE
networkx.algorithms.connectivity.edge_kcomponents|DEAD|NO_FILE
networkx.algorithms.connectivity.kcomponents|DEAD|NO_FILE
networkx.algorithms.connectivity.kcutsets|DEAD|NO_FILE
.distance_measures|DEAD|NO_FILE
.maxflow|DEAD|NO_FILE
.mincost|DEAD|NO_FILE
.boykovkolmogorov|DEAD|NO_FILE
.dinitz_alg|DEAD|NO_FILE
.edmondskarp|DEAD|NO_FILE
.gomory_hu|DEAD|NO_FILE
.preflowpush|DEAD|NO_FILE
.shortestaugmentingpath|DEAD|NO_FILE
.capacityscaling|DEAD|NO_FILE
.networksimplex|DEAD|NO_FILE
networkx.algorithms.flow.utils|DEAD|NO_FILE
networkx.algorithms.isomorphism.isomorph|DEAD|NO_FILE
networkx.algorithms.isomorphism.vf2userfunc|DEAD|NO_FILE
networkx.algorithms.isomorphism.matchhelpers|DEAD|NO_FILE
networkx.algorithms.isomorphism.temporalisomorphvf2|DEAD|NO_FILE
networkx.algorithms.isomorphism.ismags|DEAD|NO_FILE
networkx.algorithms.isomorphism.tree_isomorphism|DEAD|NO_FILE
.isomorphvf2|DEAD|NO_FILE
networkx.algorithms.link_analysis.hits_alg|DEAD|NO_FILE
networkx.algorithms.link_analysis.pagerank_alg|DEAD|NO_FILE
networkx.algorithms.minors.contraction|DEAD|NO_FILE
networkx.algorithms.operators.all|DEAD|NO_FILE
networkx.algorithms.operators.binary|DEAD|NO_FILE
networkx.algorithms.operators.product|DEAD|NO_FILE
networkx.algorithms.operators.unary|DEAD|NO_FILE
networkx.algorithms.shortest_paths.generic|DEAD|NO_FILE
networkx.algorithms.shortest_paths.unweighted|DEAD|NO_FILE
networkx.algorithms.shortest_paths.astar|DEAD|NO_FILE
networkx.algorithms.shortest_paths.dense|DEAD|NO_FILE
networkx.algorithms.traversal.edgedfs|DEAD|NO_FILE
networkx.generators.classic|DEAD|NO_FILE
networkx.algorithms.threshold|DEAD|NO_FILE
.beamsearch|DEAD|NO_FILE
.breadth_first_search|DEAD|NO_FILE
.depth_first_search|DEAD|NO_FILE
.edgedfs|DEAD|NO_FILE
.edgebfs|DEAD|NO_FILE
.branchings|DEAD|NO_FILE
.coding|DEAD|NO_FILE
.mst|DEAD|NO_FILE
.recognition|DEAD|NO_FILE
.operations|DEAD|NO_FILE
.decomposition|DEAD|NO_FILE
networkx.algorithms.tree|DEAD|NO_FILE
.digraph|DEAD|NO_FILE
.multigraph|DEAD|NO_FILE
.multidigraph|DEAD|NO_FILE
.function|DEAD|NO_FILE
.graphviews|DEAD|NO_FILE
networkx.classes.coreviews|DEAD|NO_FILE
networkx.classes.graph|DEAD|NO_FILE
networkx.classes.reportviews|DEAD|NO_FILE
networkx.classes.filters|DEAD|NO_FILE
networkx.classes.digraph|DEAD|NO_FILE
networkx.classes.multigraph|DEAD|NO_FILE
.test_graph|DEAD|NO_FILE
.historical_tests|DEAD|NO_FILE
.test_multigraph|DEAD|NO_FILE
.test_digraph|DEAD|NO_FILE
.test_multidigraph|DEAD|NO_FILE
pygraphviz|DEAD|NO_FILE
.layout|DEAD|NO_FILE
.nx_latex|DEAD|NO_FILE
.nx_pylab|DEAD|NO_FILE
matplotlib.collections  # call|DEAD|NO_FILE
matplotlib.path  # call|DEAD|NO_FILE
matplotlib.patches  # call|DEAD|NO_FILE
matplotlib.colors  # call|DEAD|NO_FILE
matplotlib.cm  # call|DEAD|NO_FILE
networkx.generators.atlas|DEAD|NO_FILE
networkx.generators.cographs|DEAD|NO_FILE
networkx.generators.community|DEAD|NO_FILE
networkx.generators.degree_seq|DEAD|NO_FILE
networkx.generators.directed|DEAD|NO_FILE
networkx.generators.duplication|DEAD|NO_FILE
networkx.generators.ego|DEAD|NO_FILE
networkx.generators.expanders|DEAD|NO_FILE
networkx.generators.geometric|DEAD|NO_FILE
networkx.generators.harary_graph|DEAD|NO_FILE
networkx.generators.internet_as_graphs|DEAD|NO_FILE
networkx.generators.intersection|DEAD|NO_FILE
networkx.generators.interval_graph|DEAD|NO_FILE
networkx.generators.joint_degree_seq|DEAD|NO_FILE
networkx.generators.lattice|DEAD|NO_FILE
networkx.generators.line|DEAD|NO_FILE
networkx.generators.mycielski|DEAD|NO_FILE
networkx.generators.nonisomorphic_trees|DEAD|NO_FILE
networkx.generators.random_clustered|DEAD|NO_FILE
networkx.generators.random_graphs|DEAD|NO_FILE
networkx.generators.small|DEAD|NO_FILE
networkx.generators.social|DEAD|NO_FILE
networkx.generators.spectral_graph_forge|DEAD|NO_FILE
networkx.generators.stochastic|DEAD|NO_FILE
networkx.generators.sudoku|DEAD|NO_FILE
networkx.generators.time_series|DEAD|NO_FILE
networkx.generators.trees|DEAD|NO_FILE
networkx.generators.triads|DEAD|NO_FILE
networkx.utils.misc|DEAD|NO_FILE
..utils.misc|DEAD|NO_FILE
.classic|DEAD|NO_FILE
.degree_seq|DEAD|NO_FILE
numpy.lib|DEAD|NO_FILE
networkx.linalg.attrmatrix|DEAD|NO_FILE
networkx.linalg.spectrum|DEAD|NO_FILE
networkx.linalg.graphmatrix|DEAD|NO_FILE
networkx.linalg.laplacianmatrix|DEAD|NO_FILE
networkx.linalg.algebraicconnectivity|DEAD|NO_FILE
networkx.linalg.modularitymatrix|DEAD|NO_FILE
networkx.linalg.bethehessianmatrix|DEAD|NO_FILE
networkx.readwrite.adjlist|DEAD|NO_FILE
networkx.readwrite.multiline_adjlist|DEAD|NO_FILE
networkx.readwrite.edgelist|DEAD|NO_FILE
networkx.readwrite.pajek|DEAD|NO_FILE
networkx.readwrite.leda|DEAD|NO_FILE
networkx.readwrite.sparse6|DEAD|NO_FILE
networkx.readwrite.graph6|DEAD|NO_FILE
networkx.readwrite.gml|DEAD|NO_FILE
networkx.readwrite.graphml|DEAD|NO_FILE
networkx.readwrite.gexf|DEAD|NO_FILE
networkx.readwrite.json_graph|DEAD|NO_FILE
networkx.readwrite.text|DEAD|NO_FILE
networkx.readwrite.json_graph.node_link|DEAD|NO_FILE
networkx.readwrite.json_graph.adjacency|DEAD|NO_FILE
networkx.readwrite.json_graph.tree|DEAD|NO_FILE
networkx.readwrite.json_graph.cytoscape|DEAD|NO_FILE
networkx.readwrite.p2g|DEAD|NO_FILE
networkx.utils.random_sequence|DEAD|NO_FILE
networkx.utils.union_find|DEAD|NO_FILE
networkx.utils.rcm|DEAD|NO_FILE
networkx.utils.heaps|DEAD|NO_FILE
networkx.utils.configs|DEAD|NO_FILE
networkx.utils.backends|DEAD|NO_FILE
.configs|DEAD|NO_FILE
.backends|DEAD|NO_FILE
networkx.classes.tests.dispatch_interface|DEAD|NO_FILE
numba.misc.init_utils|DEAD|NO_FILE
numba.core|DEAD|NO_FILE
numba.misc.special|DEAD|NO_FILE
numba.core.errors|DEAD|NO_FILE
numba.core.types|DEAD|NO_FILE
numba.core.decorators|DEAD|NO_FILE
numba.np.ufunc|DEAD|NO_FILE
numba.np.numpy_support|DEAD|NO_FILE
numba.core.withcontexts|DEAD|NO_FILE
numba.core.target_extension|DEAD|NO_FILE
numba.typed|DEAD|NO_FILE
numba.testing|DEAD|NO_FILE
numba.misc.numba_entry|DEAD|NO_FILE
.controlflow|DEAD|NO_FILE
numba.misc|DEAD|NO_FILE
numba.core.ir_utils|DEAD|NO_FILE
pygments|DEAD|NO_FILE
pygments.formatters|DEAD|NO_FILE
numba.core.dispatcher|DEAD|NO_FILE
numba.core.compiler_lock|DEAD|NO_FILE
numba.core.pythonapi|DEAD|NO_FILE
numba.core.imputils|DEAD|NO_FILE
numba.cpython|DEAD|NO_FILE
numba.core.runtime.context|DEAD|NO_FILE
numba.np|DEAD|NO_FILE
numba.core.typing.typeof|DEAD|NO_FILE
numba.core.utils|DEAD|NO_FILE
numba.core.controlflow|DEAD|NO_FILE
numba.core.ir|DEAD|NO_FILE
numba.misc.appdirs|DEAD|NO_FILE
numba.core.base|DEAD|NO_FILE
numba.core.codegen|DEAD|NO_FILE
numba.core.compiler|DEAD|NO_FILE
numba.core.serialize|DEAD|NO_FILE
IPython.paths|DEAD|NO_FILE
IPython.utils.path|DEAD|NO_FILE
numba.core.caching|DEAD|NO_FILE
numba.core.typing|DEAD|NO_FILE
numba.core.typing.ctypes_utils|DEAD|NO_FILE
numba.core.datamodel|DEAD|NO_FILE
numba.core.llvm_bindings|DEAD|NO_FILE
numba.core.runtime.nrtopt|DEAD|NO_FILE
numba.core.runtime|DEAD|NO_FILE
numba.misc.inspection|DEAD|NO_FILE
numba.misc.llvm_pass_timings|DEAD|NO_FILE
numba.misc.dump_style|DEAD|NO_FILE
elftools.elf.elffile|DEAD|NO_FILE
elftools.elf|DEAD|NO_FILE
numba.core.tracing|DEAD|NO_FILE
numba.parfors.parfor|DEAD|NO_FILE
numba.core.environment|DEAD|NO_FILE
numba.core.compiler_machinery|DEAD|NO_FILE
numba.core.untyped_passes|DEAD|NO_FILE
numba.core.typed_passes|DEAD|NO_FILE
numba.core.object_mode_passes|DEAD|NO_FILE
numba.core.targetconfig|DEAD|NO_FILE
numba.core.inline_closurecall|DEAD|NO_FILE
numba.core.event|DEAD|NO_FILE
numba.core.postproc|DEAD|NO_FILE
cuda  # noqa: F401|DEAD|NO_FILE
numba.core.callwrapper|DEAD|NO_FILE
numba.core.options|DEAD|NO_FILE
numba.core.entrypoints|DEAD|NO_FILE
numba.core.cpu_options|DEAD|NO_FILE
numba.np.random|DEAD|NO_FILE
numba.np.polynomial|DEAD|NO_FILE
numba.experimental|DEAD|NO_FILE
numba.experimental.jitclass.base|DEAD|NO_FILE
numba.np.unsafe|DEAD|NO_FILE
.manager|DEAD|NO_FILE
.packer|DEAD|NO_FILE
numba.core.datamodel.registry|DEAD|NO_FILE
numba.core.datamodel.models|DEAD|NO_FILE
numba.stencils.stencil|DEAD|NO_FILE
numba.core.ccallback|DEAD|NO_FILE
numba.core.typeconv.rules|DEAD|NO_FILE
numba.core.typing.templates|DEAD|NO_FILE
numba.core.bytecode|DEAD|NO_FILE
numba.core.annotations.pretty_annotate|DEAD|NO_FILE
numba.core.config|DEAD|NO_FILE
numba.core.typing.asnumbatype|DEAD|NO_FILE
numba._helperlib|DEAD|NO_FILE
llvmlite.ir.transforms|DEAD|NO_FILE
numba.core.funcdesc|DEAD|NO_FILE
numba.core.analysis|DEAD|NO_FILE
numba.core.extending|DEAD|NO_FILE
numba.cpython.listobj|DEAD|NO_FILE
numba.cpython.rangeobj|DEAD|NO_FILE
numba.np.arrayobj|DEAD|NO_FILE
numba.np.unsafe.ndarray|DEAD|NO_FILE
numba.core.ssa|DEAD|NO_FILE
numba.typed.listobject|DEAD|NO_FILE
numba.core.byteflow|DEAD|NO_FILE
numba.core.unsafe|DEAD|NO_FILE
numba.cpython.unsafe.tuple|DEAD|NO_FILE
numba.parfors|DEAD|NO_FILE
numba.core.registry|DEAD|NO_FILE
numba.np.linalg|DEAD|NO_FILE
numba.misc.firstlinefinder|DEAD|NO_FILE
numba.misc.coverage_support|DEAD|NO_FILE
numba.experimental.function_type|DEAD|NO_FILE
numba.core.lowering|DEAD|NO_FILE
numba.core.boxing|DEAD|NO_FILE
numba.core.descriptors|DEAD|NO_FILE
numba.core.rewrites|DEAD|NO_FILE
.nrt|DEAD|NO_FILE
numba.core.runtime.nrtdynmod|DEAD|NO_FILE
.castgraph|DEAD|NO_FILE
.typeconv|DEAD|NO_FILE
numba.core.typeconv|DEAD|NO_FILE
numba.parfors.parfor_lowering|DEAD|NO_FILE
numba.core.annotations|DEAD|NO_FILE
numba.np.ufunc.parallel|DEAD|NO_FILE
.abstract|DEAD|NO_FILE
.containers|DEAD|NO_FILE
.iterators|DEAD|NO_FILE
.misc|DEAD|NO_FILE
.npytypes|DEAD|NO_FILE
.scalars|DEAD|NO_FILE
.function_type|DEAD|NO_FILE
.new_scalars|DEAD|NO_FILE
..typeconv|DEAD|NO_FILE
numba.core.types.abstract|DEAD|NO_FILE
numba.core.types.common|DEAD|NO_FILE
.templates|DEAD|NO_FILE
numba.core.cgutils|DEAD|NO_FILE
.npydecl|DEAD|NO_FILE
.builtins|DEAD|NO_FILE
.typeof|DEAD|NO_FILE
numpy.random.bit_generator|DEAD|NO_FILE
.ctypes_utils|DEAD|NO_FILE
numba.core.cpu|DEAD|NO_FILE
numba.core.transforms|DEAD|NO_FILE
numba.core.typing.builtins|DEAD|NO_FILE
numba.extending|DEAD|NO_FILE
numba.core.unsafe.bytes|DEAD|NO_FILE
numba.cpython.randomimpl|DEAD|NO_FILE
numba.cpython.unicode|DEAD|NO_FILE
numba.cpython.unsafe.numbers|DEAD|NO_FILE
numba.np.random._constants|DEAD|NO_FILE
numba.cpython.hashing|DEAD|NO_FILE
numba.cpython.unicode_support|DEAD|NO_FILE
.simulator_init|DEAD|NO_FILE
.device_init|DEAD|NO_FILE
numba.cuda.compiler|DEAD|NO_FILE
.cudadrv|DEAD|NO_FILE
numba.cuda.api_util|DEAD|NO_FILE
.cudadrv.devicearray|DEAD|NO_FILE
numba.cuda|DEAD|NO_FILE
numba.cuda.extending|DEAD|NO_FILE
numba.cuda.types|DEAD|NO_FILE
numba.cuda.cudadrv.libs|DEAD|NO_FILE
numba.cuda.api|DEAD|NO_FILE
numba.cuda.target|DEAD|NO_FILE
.descriptor|DEAD|NO_FILE
numba.misc.findlib|DEAD|NO_FILE
numba.core.typing.npydecl|DEAD|NO_FILE
numba.cuda.cudadrv|DEAD|NO_FILE
numba.cuda.kernels.transpose|DEAD|NO_FILE
